投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
570828,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放左前半轴防尘套漏油,"G161,",2021-02-06,信息审核
570821,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL天窗开裂漏水经销商不予索赔,"H113,H90,I297,",2021-02-06,信息审核
570820,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间视线,"H82,",2021-02-06,信息审核
570818,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,"A34,",2021-02-06,信息审核
570817,广汽丰田,凯美瑞,2019款 2.5G 豪华版 国VI,广汽丰田凯美瑞发动机机油增多乳化,"A339,A13,",2021-02-06,信息审核
570812,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉中控异响 车门下沉,"H155,H93,H149,",2021-02-06,信息审核
570811,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧行驶中发动机熄火,"A14,",2021-02-06,厂家受理
570810,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响维修后转向沉重,"D156,",2021-02-06,信息审核
570809,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷启动发动机异响希望处理,"A9,",2021-02-06,信息审核
570808,SWM斯威汽车,SWM斯威X7,2017款 1.5T 自动 智享型 7座,SWM斯威X7低速换挡时变速箱有顿挫现象,"B19,",2021-02-06,信息审核
570806,一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 领先型 国V,一汽大众宝来发动机与半轴漏油希望处理,"A12,G51,",2021-02-06,信息审核
570805,比亚迪,比亚迪F3,2010款 1.5 手动 新白金版实用型,比亚迪F3车身大面积生锈希望处理,"H79,",2021-02-06,处理反馈
570803,东风标致,标致2008,2014款 1.6L 手动 时尚版,东风标致2008质保期内烧机油不解决,"A63,",2021-02-06,信息审核
570802,长安林肯,冒险家,2021款 2.0T 两驱 尊悦版,林肯冒险家经销商一直提不到车,"L312,",2021-02-06,信息审核
570799,领克,领克03,2020款 1.5TD DCT 劲版,领克03电瓶亏电导致无法正常使用,"H146,",2021-02-06,信息审核
570797,长城汽车,炮,2020款 2.0T 越野版 自动 汽油 四驱 限量版 拖挂版 GW4C20B,长城炮新车发动机异响明显希望处理,"A9,",2021-02-06,信息审核
570791,东风日产,奇骏,2014款 2.5L XL CVT 四驱 领先版,东风日产奇骏变速箱无法换挡无法加速,"B20,B334,",2021-02-06,厂家受理
570789,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,"A44,",2021-02-06,信息审核
570783,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔4S店承诺选装配置未兑现,"I293,K309,L313,",2021-02-06,信息审核
570782,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏冬天启动时排气管冒黑烟,"A114,",2021-02-06,厂家受理
570781,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮 喷油嘴渗油,"A53,F186,",2021-02-06,信息审核
570780,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫行驶时变速箱故障报警,"B96,",2021-02-06,信息审核
570779,一汽-大众,一汽-大众CC,2019款 380TSI 曜颜版,一汽大众CC起步和加油时异响4S店查不出原因,"B33,G56,J301,",2021-02-06,信息审核
570778,上汽通用别克,君威,2019款 20T 精英型 国V,别克君威发动机变速箱故障灯报警,"A34,B96,",2021-02-06,厂家受理
570775,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元故障,"B115,",2021-02-06,信息审核
570773,凯翼汽车,凯翼C3,2015款 1.5L AMT 黄钻版,凯翼C3变速器脱挡希望尽快得到处理,"B246,",2021-02-06,信息审核
570771,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2021-02-06,信息审核
570769,华晨中华,中华V6,2018款 1.5T 自动 尊贵型,华晨中华V6发动机缺缸希望尽快处理,"A24,A163,",2021-02-06,信息审核
570763,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动希望尽快处理,"A44,",2021-02-06,信息审核
570762,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 6座,长安福特探险者变速箱与分动箱连接处漏油,"B22,",2021-02-06,厂家受理
570758,东风雪铁龙,凯旋,2006款 2.0L 自动 旗舰型,东风雪铁龙凯旋变速箱三挡锁死 空调不制热,"B20,H101,",2021-02-06,信息审核
570757,猎豹汽车,猎豹CS10,2015款 2.0T 手动  风尚版,猎豹CS10车辆自燃要求立刻解决问题,"H40,",2021-02-06,信息审核
570755,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙经销商疑似出售问题车,"M284,",2021-02-06,信息审核
570754,广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 5座 国VI,广汽三菱欧蓝德发动机爆震 变速箱拖挡 ,"A18,B69,",2021-02-06,厂家受理
570753,广汽丰田,凯美瑞,2007款 240V 2.4 自动 NAVI 至尊导航版,广汽丰田凯美瑞仪表台开裂影响驾驶安全,"H176,",2021-02-06,信息审核
570750,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,捷途X90空调出风口调节拨片电镀层脱落,"H101,I294,",2021-02-06,信息审核
570749,上汽大众,凌渡,2017款 230TSI DSG 风尚版,上汽大众凌渡变速箱机电控制单元故障,"B115,",2021-02-06,信息审核
570748,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁钥匙失灵 悬挂异响 车机蓝屏,"G204,H134,H155,H119,",2021-02-06,厂家受理
570746,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮 透镜裂痕 雨刮异响,"H82,H60,H220,",2021-02-06,信息审核
570744,一汽-大众,迈腾GTE,2020款 GTE 豪华型,一汽大众迈腾GTE发动机和EPC故障报警,"A9,A34,H89,I295,J301,",2021-02-06,信息审核
570741,陕汽,德龙,M3000,陕汽德龙变速箱油封漏油厂家客服态度恶劣,"A12,I297,I293,",2021-02-06,信息审核
570737,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动异响希望处理,"A9,",2021-02-06,信息审核
570730,上汽大通,上汽大通MAXUS T70,2020款 2.0T 柴油 手动 四驱 舒适版 长厢 高底盘,上汽MAXUST70氧传感器频繁积碳,"H234,",2021-02-06,信息审核
570721,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L起步时变速箱异响,"B33,",2021-02-06,信息审核
570720,东风日产,天籁,2020款 2.0T XL Upper AD1 智享领航版,东风日产天籁变速箱顿挫 车门共振 油箱异响,"A9,A24,B19,H147,",2021-02-06,处理反馈
570715,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机冷启动异响希望处理,"A9,",2021-02-06,信息审核
570714,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L行驶过程中变速箱异响顿挫,"B33,B19,",2021-02-06,信息审核
570711,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁车载智联无法使用厂家不处理,"H155,M279,",2021-02-06,处理反馈
570709,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,大众途观L经销商不给维修工单希望处理,"O353,",2021-02-06,信息审核
570707,长安汽车,长安欧尚A600,2016款 1.5L 豪华型 7座,长安欧尚A600漆面起泡车身生锈严重,"H79,H81,",2021-02-06,厂家受理
570701,上汽通用别克,别克GL6,2018款 18T 精英型 6座,别克GL6行驶时发动机异响希望得到处理,"A9,",2021-02-06,厂家受理
570698,一汽红旗,红旗H5,2020款 1.5T DCT 旗韵版,红旗H5后备箱无故弹开影响安全,"H68,",2021-02-06,信息审核
570696,北汽新能源,EV系列,2016款 EV160 轻快版,北汽新能源EV电机冷却液过高无配件,"N318,",2021-02-06,处理反馈
570689,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 豪华型 5座,奇瑞瑞虎8变速箱顿挫 发动机抖动 大灯盲区,"A24,B19,G171,H82,",2021-02-05,信息审核
570686,奔驰（进口）,奔驰S级,2020款 S 450 L 4MATIC 臻藏版,进口奔驰S级车机系统失灵 行车电脑报警,"H134,H155,H170,",2021-02-05,信息审核
570681,东风雪铁龙,C4世嘉,2018款 1.6L 自动 豪华型,东风雪铁龙C4世嘉轮毂氧化腐蚀 车内异味,"H185,H243,I297,",2021-02-05,信息审核
570679,特斯拉中国,Model 3,2021款 标准续航 后驱 升级版,特斯拉Model 3无法充满掉电严重 续航不足,"H340,H344,",2021-02-05,信息审核
570675,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 运动型 国VI,一汽大众奥迪A3事故喷漆后发现大灯有裂痕,"H220,J300,",2021-02-05,信息审核
570672,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁刹车盘变形 高速刹车抖动,"E111,E239,",2021-02-05,信息审核
570671,上汽大众,途观L,2019款 330TSI 自动 两驱 全景舒适版 国V,上汽大众途观L车身镀铬装饰条生锈严重,"H79,",2021-02-05,信息审核
570828,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放左前半轴防尘套漏油,"G161,",2021-02-06,信息审核
570821,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL天窗开裂漏水经销商不予索赔,"H113,H90,I297,",2021-02-06,信息审核
570820,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间视线,"H82,",2021-02-06,信息审核
570818,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,"A34,",2021-02-06,信息审核
570817,广汽丰田,凯美瑞,2019款 2.5G 豪华版 国VI,广汽丰田凯美瑞发动机机油增多乳化,"A339,A13,",2021-02-06,信息审核
570812,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉中控异响 车门下沉,"H155,H93,H149,",2021-02-06,信息审核
570811,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧行驶中发动机熄火,"A14,",2021-02-06,厂家受理
570810,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响维修后转向沉重,"D156,",2021-02-06,信息审核
570809,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷启动发动机异响希望处理,"A9,",2021-02-06,信息审核
570808,SWM斯威汽车,SWM斯威X7,2017款 1.5T 自动 智享型 7座,SWM斯威X7低速换挡时变速箱有顿挫现象,"B19,",2021-02-06,信息审核
570806,一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 领先型 国V,一汽大众宝来发动机与半轴漏油希望处理,"A12,G51,",2021-02-06,信息审核
570805,比亚迪,比亚迪F3,2010款 1.5 手动 新白金版实用型,比亚迪F3车身大面积生锈希望处理,"H79,",2021-02-06,处理反馈
570803,东风标致,标致2008,2014款 1.6L 手动 时尚版,东风标致2008质保期内烧机油不解决,"A63,",2021-02-06,信息审核
570802,长安林肯,冒险家,2021款 2.0T 两驱 尊悦版,林肯冒险家经销商一直提不到车,"L312,",2021-02-06,信息审核
570799,领克,领克03,2020款 1.5TD DCT 劲版,领克03电瓶亏电导致无法正常使用,"H146,",2021-02-06,信息审核
570797,长城汽车,炮,2020款 2.0T 越野版 自动 汽油 四驱 限量版 拖挂版 GW4C20B,长城炮新车发动机异响明显希望处理,"A9,",2021-02-06,信息审核
570791,东风日产,奇骏,2014款 2.5L XL CVT 四驱 领先版,东风日产奇骏变速箱无法换挡无法加速,"B20,B334,",2021-02-06,厂家受理
570789,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,"A44,",2021-02-06,信息审核
570783,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔4S店承诺选装配置未兑现,"I293,K309,L313,",2021-02-06,信息审核
570782,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏冬天启动时排气管冒黑烟,"A114,",2021-02-06,厂家受理
570781,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮 喷油嘴渗油,"A53,F186,",2021-02-06,信息审核
570780,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫行驶时变速箱故障报警,"B96,",2021-02-06,信息审核
570779,一汽-大众,一汽-大众CC,2019款 380TSI 曜颜版,一汽大众CC起步和加油时异响4S店查不出原因,"B33,G56,J301,",2021-02-06,信息审核
570778,上汽通用别克,君威,2019款 20T 精英型 国V,别克君威发动机变速箱故障灯报警,"A34,B96,",2021-02-06,厂家受理
570775,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元故障,"B115,",2021-02-06,信息审核
570773,凯翼汽车,凯翼C3,2015款 1.5L AMT 黄钻版,凯翼C3变速器脱挡希望尽快得到处理,"B246,",2021-02-06,信息审核
570771,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2021-02-06,信息审核
570769,华晨中华,中华V6,2018款 1.5T 自动 尊贵型,华晨中华V6发动机缺缸希望尽快处理,"A24,A163,",2021-02-06,信息审核
570763,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动希望尽快处理,"A44,",2021-02-06,信息审核
570762,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 6座,长安福特探险者变速箱与分动箱连接处漏油,"B22,",2021-02-06,厂家受理
570828,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放左前半轴防尘套漏油,"G161,",2021-02-06,信息审核
570821,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL天窗开裂漏水经销商不予索赔,"H113,H90,I297,",2021-02-06,信息审核
570820,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间视线,"H82,",2021-02-06,信息审核
570818,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,"A34,",2021-02-06,信息审核
570817,广汽丰田,凯美瑞,2019款 2.5G 豪华版 国VI,广汽丰田凯美瑞发动机机油增多乳化,"A339,A13,",2021-02-06,信息审核
570812,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉中控异响 车门下沉,"H155,H93,H149,",2021-02-06,信息审核
570811,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧行驶中发动机熄火,"A14,",2021-02-06,厂家受理
570810,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响维修后转向沉重,"D156,",2021-02-06,信息审核
570809,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷启动发动机异响希望处理,"A9,",2021-02-06,信息审核
570808,SWM斯威汽车,SWM斯威X7,2017款 1.5T 自动 智享型 7座,SWM斯威X7低速换挡时变速箱有顿挫现象,"B19,",2021-02-06,信息审核
570806,一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 领先型 国V,一汽大众宝来发动机与半轴漏油希望处理,"A12,G51,",2021-02-06,信息审核
570805,比亚迪,比亚迪F3,2010款 1.5 手动 新白金版实用型,比亚迪F3车身大面积生锈希望处理,"H79,",2021-02-06,处理反馈
570803,东风标致,标致2008,2014款 1.6L 手动 时尚版,东风标致2008质保期内烧机油不解决,"A63,",2021-02-06,信息审核
570802,长安林肯,冒险家,2021款 2.0T 两驱 尊悦版,林肯冒险家经销商一直提不到车,"L312,",2021-02-06,信息审核
570799,领克,领克03,2020款 1.5TD DCT 劲版,领克03电瓶亏电导致无法正常使用,"H146,",2021-02-06,信息审核
570797,长城汽车,炮,2020款 2.0T 越野版 自动 汽油 四驱 限量版 拖挂版 GW4C20B,长城炮新车发动机异响明显希望处理,"A9,",2021-02-06,信息审核
570791,东风日产,奇骏,2014款 2.5L XL CVT 四驱 领先版,东风日产奇骏变速箱无法换挡无法加速,"B20,B334,",2021-02-06,厂家受理
570789,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,"A44,",2021-02-06,信息审核
570783,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔4S店承诺选装配置未兑现,"I293,K309,L313,",2021-02-06,信息审核
570782,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏冬天启动时排气管冒黑烟,"A114,",2021-02-06,厂家受理
570781,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮 喷油嘴渗油,"A53,F186,",2021-02-06,信息审核
570780,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫行驶时变速箱故障报警,"B96,",2021-02-06,信息审核
570779,一汽-大众,一汽-大众CC,2019款 380TSI 曜颜版,一汽大众CC起步和加油时异响4S店查不出原因,"B33,G56,J301,",2021-02-06,信息审核
570778,上汽通用别克,君威,2019款 20T 精英型 国V,别克君威发动机变速箱故障灯报警,"A34,B96,",2021-02-06,厂家受理
570775,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元故障,"B115,",2021-02-06,信息审核
570773,凯翼汽车,凯翼C3,2015款 1.5L AMT 黄钻版,凯翼C3变速器脱挡希望尽快得到处理,"B246,",2021-02-06,信息审核
570771,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2021-02-06,信息审核
570769,华晨中华,中华V6,2018款 1.5T 自动 尊贵型,华晨中华V6发动机缺缸希望尽快处理,"A24,A163,",2021-02-06,信息审核
570763,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动希望尽快处理,"A44,",2021-02-06,信息审核
